TITLE = "Cylindrical Flow Velocity Data"
Variables="X","Y","Z","VX","VY", "VZ"
Zone I=    17, J=    17, K=     1, F=POINT
     0.625     0.000     0.250  -0.673469E-03   0.230792E-01  -0.364041E-03
     0.688     0.000     0.250  -0.746435E-03   0.314546E-01  -0.199630E-03
     0.750     0.000     0.250  -0.524400E-03   0.504264E-01   0.444673E-04
     0.813     0.000     0.250  -0.523250E-03   0.902427E-01   0.369608E-03
     0.875     0.000     0.250  -0.159925E-02   0.187119       0.710583E-03
     0.938     0.000     0.250   0.680712E-04   0.459023       0.683127E-03
     1.000     0.000     0.250    0.00000        1.00000        0.00000    
     0.000     0.000     0.313    0.00000        0.00000      -0.490243E-03
     0.063     0.000     0.313  -0.755358E-04   0.722243E-03  -0.484541E-03
     0.125     0.000     0.313  -0.152891E-03   0.150761E-02  -0.483003E-03
     0.188     0.000     0.313  -0.225404E-03   0.225129E-02  -0.477508E-03
     0.250     0.000     0.313  -0.299075E-03   0.303071E-02  -0.470538E-03
     0.313     0.000     0.313  -0.372513E-03   0.379699E-02  -0.459183E-03
     0.375     0.000     0.313  -0.449218E-03   0.466905E-02  -0.442815E-03
     0.438     0.000     0.313  -0.522045E-03   0.562206E-02  -0.415883E-03
     0.500     0.000     0.313  -0.571841E-03   0.697589E-02  -0.376762E-03
     0.563     0.000     0.313  -0.640759E-03   0.900003E-02  -0.312380E-03
     0.625     0.000     0.313  -0.748402E-03   0.129602E-01  -0.218961E-03
     0.688     0.000     0.313  -0.781221E-03   0.209783E-01  -0.680306E-04
     0.750     0.000     0.313  -0.481202E-03   0.393710E-01   0.126539E-03
     0.813     0.000     0.313  -0.403697E-03   0.809459E-01   0.376640E-03
     0.875     0.000     0.313  -0.133178E-02   0.181202       0.574205E-03
     0.938     0.000     0.313   0.138624E-03   0.455180       0.472371E-03
     1.000     0.000     0.313    0.00000        1.00000        0.00000    
     0.000     0.000     0.375    0.00000        0.00000      -0.319251E-03
     0.063     0.000     0.375  -0.811674E-04   0.328451E-03  -0.323321E-03
     0.125     0.000     0.375  -0.167193E-03   0.643631E-03  -0.322206E-03
     0.188     0.000     0.375  -0.243673E-03   0.969260E-03  -0.319735E-03
     0.250     0.000     0.375  -0.323841E-03   0.130759E-02  -0.313122E-03
     0.313     0.000     0.375  -0.400397E-03   0.166603E-02  -0.305017E-03
     0.375     0.000     0.375  -0.479823E-03   0.211123E-02  -0.291469E-03
     0.438     0.000     0.375  -0.549943E-03   0.267016E-02  -0.271582E-03
     0.500     0.000     0.375  -0.595360E-03   0.363726E-02  -0.240174E-03
     0.563     0.000     0.375  -0.648137E-03   0.532324E-02  -0.193089E-03
     0.625     0.000     0.375  -0.735562E-03   0.907278E-02  -0.122586E-03
     0.688     0.000     0.375  -0.728463E-03   0.169635E-01  -0.253071E-04
     0.750     0.000     0.375  -0.414963E-03   0.358765E-01   0.102894E-03
     0.813     0.000     0.375  -0.304457E-03   0.771205E-01   0.225301E-03
     0.875     0.000     0.375  -0.143522E-02   0.176731       0.334345E-03
     0.938     0.000     0.375   0.104553E-03   0.453412       0.292520E-03
     1.000     0.000     0.375    0.00000        1.00000        0.00000    
     0.000     0.000     0.438    0.00000        0.00000      -0.168558E-03
     0.063     0.000     0.438  -0.825453E-04   0.148262E-03  -0.161693E-03
     0.125     0.000     0.438  -0.170291E-03   0.311266E-03  -0.160371E-03
     0.188     0.000     0.438  -0.249571E-03   0.467798E-03  -0.157561E-03
     0.250     0.000     0.438  -0.330360E-03   0.644321E-03  -0.154894E-03
     0.313     0.000     0.438  -0.408041E-03   0.839042E-03  -0.149805E-03
     0.375     0.000     0.438  -0.485869E-03   0.111294E-02  -0.142870E-03
     0.438     0.000     0.438  -0.552786E-03   0.152211E-02  -0.130842E-03
     0.500     0.000     0.438  -0.590487E-03   0.230917E-02  -0.113775E-03
     0.563     0.000     0.438  -0.633257E-03   0.387946E-02  -0.860468E-04
     0.625     0.000     0.438  -0.704827E-03   0.742212E-02  -0.483528E-04
     0.688     0.000     0.438  -0.678454E-03   0.152915E-01   0.455795E-05
     0.750     0.000     0.438  -0.345044E-03   0.337712E-01   0.652875E-04
     0.813     0.000     0.438  -0.211290E-03   0.759779E-01   0.112823E-03
     0.875     0.000     0.438  -0.118440E-02   0.177385       0.147580E-03
     0.938     0.000     0.438   0.142737E-03   0.453150       0.119260E-03
     1.000     0.000     0.438    0.00000        1.00000        0.00000    
     0.000     0.000     0.500    0.00000        0.00000       0.207668E-04
     0.063     0.000     0.500  -0.824044E-04   0.121857E-03   0.145531E-04
